puzzle ID,algorithm,iteration,number of processes,time taken (hh:mm.ms),time taken (ms),mean time taken per puzzle (hh:mm.ms),mean time per puzzle (ms),sum time taken per method (hh:mm.ms),sum time taken per method (ms),total time experiment
1,MultiProcess,3,5,00:01:41.594,101594,,,,,
1,MultiProcess,4,5,00:01:46.525,106525,,,,,
2,MultiProcess,0,5,00:00:26.361,26361,00:00:26.513,26513,,,
2,MultiProcess,1,5,00:00:27.713,27713,,,,,
2,MultiProcess,2,5,00:00:27.127,27127,,,,,
2,MultiProcess,3,5,00:00:25.811,25811,,,,,
2,MultiProcess,4,5,00:00:25.554,25554,,,,,
3,MultiProcess,0,5,00:01:38.387,98387,00:01:38.558,98558,,,
3,MultiProcess,1,5,00:01:41.206,101206,,,,,
3,MultiProcess,2,5,00:01:38.47,98047,,,,,
3,MultiProcess,3,5,00:01:37.846,97846,,,,,
3,MultiProcess,4,5,00:01:37.305,97305,,,,,
4,MultiProcess,0,5,00:02:28.769,148769,00:02:28.266,148266,,,
4,MultiProcess,1,5,00:02:22.717,142717,,,,,
4,MultiProcess,2,5,00:02:34.322,154322,,,,,
4,MultiProcess,3,5,00:02:28.2,148002,,,,,
4,MultiProcess,4,5,00:02:27.522,147522,,,,,
5,MultiProcess,0,5,00:02:32.276,152276,00:02:32.467,152467,,,
5,MultiProcess,1,5,00:02:36.72,156072,,,,,
5,MultiProcess,2,5,00:02:31.218,151218,,,,,
5,MultiProcess,3,5,00:02:35.720,155720,,,,,
5,MultiProcess,4,5,00:02:27.49,147049,,,,,
6,MultiProcess,0,5,00:00:02.914,2914,00:00:02.895,2895,,,
6,MultiProcess,1,5,00:00:02.890,2890,,,,,
6,MultiProcess,2,5,00:00:02.750,2750,,,,,
6,MultiProcess,3,5,00:00:02.945,2945,,,,,
6,MultiProcess,4,5,00:00:02.976,2976,,,,,
7,MultiProcess,0,5,00:00:04.691,4691,00:00:04.750,4750,,,
7,MultiProcess,1,5,00:00:04.787,4787,,,,,
7,MultiProcess,2,5,00:00:04.781,4781,,,,,
7,MultiProcess,3,5,00:00:04.713,4713,,,,,
7,MultiProcess,4,5,00:00:04.780,4780,,,,,
1,MultiProcess,0,8,00:01:18.272,78272,00:01:14.264,74264,00:31:13.851,1873851,
1,MultiProcess,1,8,00:01:16.359,76359,,,,,
1,MultiProcess,2,8,00:01:11.910,71910,,,,,
1,MultiProcess,3,8,00:01:14.490,74490,,,,,
1,MultiProcess,4,8,00:01:10.293,70293,,,,,
2,MultiProcess,0,8,00:00:21.107,21107,00:00:20.594,20594,,,
2,MultiProcess,1,8,00:00:21.234,21234,,,,,
2,MultiProcess,2,8,00:00:20.533,20533,,,,,
2,MultiProcess,3,8,00:00:20.244,20244,,,,,
2,MultiProcess,4,8,00:00:19.855,19855,,,,,
3,MultiProcess,0,8,00:01:29.665,89665,00:01:29.390,89390,,,
3,MultiProcess,1,8,00:01:27.31,87031,,,,,
3,MultiProcess,2,8,00:01:26.442,86442,,,,,
3,MultiProcess,3,8,00:01:34.968,94968,,,,,
3,MultiProcess,4,8,00:01:28.848,88848,,,,,
4,MultiProcess,0,8,00:01:25.888,85888,00:01:26.681,86681,,,
4,MultiProcess,1,8,00:01:26.339,86339,,,,,
4,MultiProcess,2,8,00:01:30.623,90623,,,,,
4,MultiProcess,3,8,00:01:25.153,85153,,,,,
4,MultiProcess,4,8,00:01:25.405,85405,,,,,
5,MultiProcess,0,8,00:01:37.803,97803,00:01:37.90,97090,,,
5,MultiProcess,1,8,00:01:34.388,94388,,,,,
5,MultiProcess,2,8,00:01:40.24,100024,,,,,
5,MultiProcess,3,8,00:01:38.13,98013,,,,,
5,MultiProcess,4,8,00:01:35.222,95222,,,,,
6,MultiProcess,0,8,00:00:02.562,2562,00:00:02.469,2469,,,
6,MultiProcess,1,8,00:00:02.438,2438,,,,,
6,MultiProcess,2,8,00:00:02.473,2473,,,,,
6,MultiProcess,3,8,00:00:02.451,2451,,,,,
6,MultiProcess,4,8,00:00:02.424,2424,,,,,
7,MultiProcess,0,8,00:00:04.252,4252,00:00:04.278,4278,,,
7,MultiProcess,1,8,00:00:04.344,4344,,,,,
7,MultiProcess,2,8,00:00:04.278,4278,,,,,
7,MultiProcess,3,8,00:00:04.272,4272,,,,,
7,MultiProcess,4,8,00:00:04.248,4248,,,,,
1,MultiProcess,0,13,00:01:39.657,99657,00:01:37.50,97050,00:35:56.460,2156460,
1,MultiProcess,1,13,00:01:37.331,97331,,,,,
1,MultiProcess,2,13,00:01:37.753,97753,,,,,
1,MultiProcess,3,13,00:01:40.40,100040,,,,,
1,MultiProcess,4,13,00:01:30.472,90472,,,,,
2,MultiProcess,0,13,00:00:18.279,18279,00:00:18.560,18560,,,
2,MultiProcess,1,13,00:00:19.586,19586,,,,,
2,MultiProcess,2,13,00:00:18.826,18826,,,,,
2,MultiProcess,3,13,00:00:17.442,17442,,,,,
2,MultiProcess,4,13,00:00:18.669,18669,,,,,
3,MultiProcess,0,13,00:01:35.360,95360,00:01:34.454,94454,,,
3,MultiProcess,1,13,00:01:37.827,97827,,,,,
3,MultiProcess,2,13,00:01:32.2,92002,,,,,
3,MultiProcess,3,13,00:01:33.809,93809,,,,,
3,MultiProcess,4,13,00:01:33.275,93275,,,,,
4,MultiProcess,0,13,00:01:46.617,106617,00:01:45.574,105574,,,
4,MultiProcess,1,13,00:01:44.105,104105,,,,,
4,MultiProcess,2,13,00:01:47.593,107593,,,,,
4,MultiProcess,3,13,00:01:44.709,104709,,,,,
4,MultiProcess,4,13,00:01:44.849,104849,,,,,
5,MultiProcess,0,13,00:01:46.697,106697,00:01:48.636,108636,,,
5,MultiProcess,1,13,00:01:46.365,106365,,,,,
5,MultiProcess,2,13,00:01:50.196,110196,,,,,
5,MultiProcess,3,13,00:01:51.962,111962,,,,,
5,MultiProcess,4,13,00:01:47.962,107962,,,,,
6,MultiProcess,0,13,00:00:02.495,2495,00:00:02.515,2515,,,
6,MultiProcess,1,13,00:00:02.554,2554,,,,,
6,MultiProcess,2,13,00:00:02.443,2443,,,,,
6,MultiProcess,3,13,00:00:02.547,2547,,,,,
6,MultiProcess,4,13,00:00:02.540,2540,,,,,
7,MultiProcess,0,13,00:00:04.484,4484,00:00:04.499,4499,,,
7,MultiProcess,1,13,00:00:04.477,4477,,,,,
7,MultiProcess,2,13,00:00:04.364,4364,,,,,
7,MultiProcess,3,13,00:00:04.579,4579,,,,,
7,MultiProcess,4,13,00:00:04.594,4594,,,,,
1,MultiProcess count adjusted depth 2,0,4,00:02:04.343,124343,00:02:03.820,123820,00:48:20.695,2900695,
1,MultiProcess count adjusted depth 2,1,4,00:02:08.402,128402,,,,,
1,MultiProcess count adjusted depth 2,2,4,00:02:03.653,123653,,,,,
1,MultiProcess count adjusted depth 2,3,4,00:02:02.97,122097,,,,,
1,MultiProcess count adjusted depth 2,4,4,00:02:00.607,120607,,,,,
2,MultiProcess count adjusted depth 2,0,3,00:00:29.534,29534,00:00:29.760,29760,,,
2,MultiProcess count adjusted depth 2,1,3,00:00:30.158,30158,,,,,
2,MultiProcess count adjusted depth 2,2,3,00:00:29.828,29828,,,,,
2,MultiProcess count adjusted depth 2,3,3,00:00:29.651,29651,,,,,
2,MultiProcess count adjusted depth 2,4,3,00:00:29.630,29630,,,,,
3,MultiProcess count adjusted depth 2,0,4,00:01:59.119,119119,00:01:58.954,118954,,,
3,MultiProcess count adjusted depth 2,1,4,00:01:57.106,117106,,,,,
3,MultiProcess count adjusted depth 2,2,4,00:01:57.596,117596,,,,,
3,MultiProcess count adjusted depth 2,3,4,00:01:58.994,118994,,,,,
3,MultiProcess count adjusted depth 2,4,4,00:02:01.955,121955,,,,,
4,MultiProcess count adjusted depth 2,0,4,00:02:35.25,155025,00:02:33.648,153648,,,
4,MultiProcess count adjusted depth 2,1,4,00:02:32.535,152535,,,,,
4,MultiProcess count adjusted depth 2,2,4,00:02:32.39,152039,,,,,
4,MultiProcess count adjusted depth 2,3,4,00:02:34.481,154481,,,,,
4,MultiProcess count adjusted depth 2,4,4,00:02:34.160,154160,,,,,
5,MultiProcess count adjusted depth 2,0,4,00:02:25.285,145285,00:02:23.581,143581,,,
5,MultiProcess count adjusted depth 2,1,4,00:02:23.355,143355,,,,,
5,MultiProcess count adjusted depth 2,2,4,00:02:22.672,142672,,,,,
5,MultiProcess count adjusted depth 2,3,4,00:02:21.709,141709,,,,,
5,MultiProcess count adjusted depth 2,4,4,00:02:24.886,144886,,,,,
6,MultiProcess count adjusted depth 2,0,4,00:00:03.469,3469,00:00:03.433,3433,,,
6,MultiProcess count adjusted depth 2,1,4,00:00:03.511,3511,,,,,
6,MultiProcess count adjusted depth 2,2,4,00:00:03.506,3506,,,,,
6,MultiProcess count adjusted depth 2,3,4,00:00:03.400,3400,,,,,
6,MultiProcess count adjusted depth 2,4,4,00:00:03.281,3281,,,,,
7,MultiProcess count adjusted depth 2,0,4,00:00:06.961,6961,00:00:06.941,6941,,,
7,MultiProcess count adjusted depth 2,1,4,00:00:06.971,6971,,,,,
7,MultiProcess count adjusted depth 2,2,4,00:00:06.836,6836,,,,,
7,MultiProcess count adjusted depth 2,3,4,00:00:06.996,6996,,,,,
7,MultiProcess count adjusted depth 2,4,4,00:00:06.944,6944,,,,,
1,MultiProcess count adjusted depth 3,0,7,00:01:46.396,106396,00:01:48.231,108231,00:44:15.628,2655628,
1,MultiProcess count adjusted depth 3,1,7,00:01:53.844,113844,,,,,
1,MultiProcess count adjusted depth 3,2,7,00:01:48.553,108553,,,,,
1,MultiProcess count adjusted depth 3,3,7,00:01:45.274,105274,,,,,
1,MultiProcess count adjusted depth 3,4,7,00:01:47.88,107088,,,,,
2,MultiProcess count adjusted depth 3,0,5,00:00:25.111,25111,00:00:25.631,25631,,,
2,MultiProcess count adjusted depth 3,1,5,00:00:25.629,25629,,,,,
2,MultiProcess count adjusted depth 3,2,5,00:00:26.561,26561,,,,,
2,MultiProcess count adjusted depth 3,3,5,00:00:25.769,25769,,,,,
2,MultiProcess count adjusted depth 3,4,5,00:00:25.85,25085,,,,,
3,MultiProcess count adjusted depth 3,0,7,00:01:54.438,114438,00:01:57.268,117268,,,
3,MultiProcess count adjusted depth 3,1,7,00:02:01.155,121155,,,,,
3,MultiProcess count adjusted depth 3,2,7,00:01:57.340,117340,,,,,
3,MultiProcess count adjusted depth 3,3,7,00:01:55.525,115525,,,,,
3,MultiProcess count adjusted depth 3,4,7,00:01:57.882,117882,,,,,
4,MultiProcess count adjusted depth 3,0,7,00:02:00.525,120525,00:02:06.211,126211,,,
4,MultiProcess count adjusted depth 3,1,7,00:02:10.223,130223,,,,,
4,MultiProcess count adjusted depth 3,2,7,00:02:10.84,130084,,,,,
4,MultiProcess count adjusted depth 3,3,7,00:02:04.606,124606,,,,,
4,MultiProcess count adjusted depth 3,4,7,00:02:05.618,125618,,,,,
5,MultiProcess count adjusted depth 3,0,7,00:02:20.516,140516,00:02:24.112,144112,,,
5,MultiProcess count adjusted depth 3,1,7,00:02:27.724,147724,,,,,
5,MultiProcess count adjusted depth 3,2,7,00:02:26.309,146309,,,,,
5,MultiProcess count adjusted depth 3,3,7,00:02:21.188,141188,,,,,
5,MultiProcess count adjusted depth 3,4,7,00:02:24.826,144826,,,,,
6,MultiProcess count adjusted depth 3,0,7,00:00:04.282,4282,00:00:03.797,3797,,,
6,MultiProcess count adjusted depth 3,1,7,00:00:03.681,3681,,,,,
6,MultiProcess count adjusted depth 3,2,7,00:00:03.732,3732,,,,,
6,MultiProcess count adjusted depth 3,3,7,00:00:03.726,3726,,,,,
6,MultiProcess count adjusted depth 3,4,7,00:00:03.568,3568,,,,,
7,MultiProcess count adjusted depth 3,0,7,00:00:05.968,5968,00:00:05.874,5874,,,
7,MultiProcess count adjusted depth 3,1,7,00:00:05.915,5915,,,,,
7,MultiProcess count adjusted depth 3,2,7,00:00:05.817,5817,,,,,
7,MultiProcess count adjusted depth 3,3,7,00:00:05.954,5954,,,,,
7,MultiProcess count adjusted depth 3,4,7,00:00:05.716,5716,,,,,
1,MultiProcess count adjusted depth 4,0,8,00:01:16.202,76202,00:01:14.14,74014,00:32:13.578,1933578,
1,MultiProcess count adjusted depth 4,1,8,00:01:14.516,74516,,,,,
1,MultiProcess count adjusted depth 4,2,8,00:01:12.38,72038,,,,,
1,MultiProcess count adjusted depth 4,3,8,00:01:15.607,75607,,,,,
1,MultiProcess count adjusted depth 4,4,8,00:01:11.708,71708,,,,,
2,MultiProcess count adjusted depth 4,0,6,00:00:21.579,21579,00:00:20.183,20183,,,
2,MultiProcess count adjusted depth 4,1,6,00:00:19.912,19912,,,,,
2,MultiProcess count adjusted depth 4,2,6,00:00:20.212,20212,,,,,
2,MultiProcess count adjusted depth 4,3,6,00:00:19.664,19664,,,,,
2,MultiProcess count adjusted depth 4,4,6,00:00:19.551,19551,,,,,
3,MultiProcess count adjusted depth 4,0,8,00:01:35.418,95418,00:01:33.693,93693,,,
3,MultiProcess count adjusted depth 4,1,8,00:01:33.334,93334,,,,,
3,MultiProcess count adjusted depth 4,2,8,00:01:35.669,95669,,,,,
3,MultiProcess count adjusted depth 4,3,8,00:01:35.576,95576,,,,,
3,MultiProcess count adjusted depth 4,4,8,00:01:28.469,88469,,,,,
4,MultiProcess count adjusted depth 4,0,8,00:01:29.256,89256,00:01:31.408,91408,,,
4,MultiProcess count adjusted depth 4,1,8,00:01:32.176,92176,,,,,
4,MultiProcess count adjusted depth 4,2,8,00:01:31.493,91493,,,,,
4,MultiProcess count adjusted depth 4,3,8,00:01:33.891,93891,,,,,
4,MultiProcess count adjusted depth 4,4,8,00:01:30.225,90225,,,,,
5,MultiProcess count adjusted depth 4,0,8,00:01:38.116,98116,00:01:39.945,99945,,,
5,MultiProcess count adjusted depth 4,1,8,00:01:42.113,102113,,,,,
5,MultiProcess count adjusted depth 4,2,8,00:01:44.540,104540,,,,,
5,MultiProcess count adjusted depth 4,3,8,00:01:37.691,97691,,,,,
5,MultiProcess count adjusted depth 4,4,8,00:01:37.267,97267,,,,,
6,MultiProcess count adjusted depth 4,0,8,00:00:02.797,2797,00:00:02.683,2683,,,
6,MultiProcess count adjusted depth 4,1,8,00:00:02.636,2636,,,,,
6,MultiProcess count adjusted depth 4,2,8,00:00:02.651,2651,,,,,
6,MultiProcess count adjusted depth 4,3,8,00:00:02.605,2605,,,,,
6,MultiProcess count adjusted depth 4,4,8,00:00:02.726,2726,,,,,
7,MultiProcess count adjusted depth 4,0,8,00:00:04.969,4969,00:00:04.788,4788,,,
7,MultiProcess count adjusted depth 4,1,8,00:00:04.647,4647,,,,,
7,MultiProcess count adjusted depth 4,2,8,00:00:04.722,4722,,,,,
7,MultiProcess count adjusted depth 4,3,8,00:00:04.834,4834,,,,,
7,MultiProcess count adjusted depth 4,4,8,00:00:04.768,4768,,,,,
1,MultiProcess count adjusted depth 5,0,9,00:01:05.893,65893,00:01:02.916,62916,00:31:32.420,1892420,
1,MultiProcess count adjusted depth 5,1,9,00:01:04.395,64395,,,,,
1,MultiProcess count adjusted depth 5,2,9,00:01:01.962,61962,,,,,
1,MultiProcess count adjusted depth 5,3,9,00:01:01.238,61238,,,,,
1,MultiProcess count adjusted depth 5,4,9,00:01:01.92,61092,,,,,
2,MultiProcess count adjusted depth 5,0,9,00:00:18.329,18329,00:00:18.371,18371,,,
2,MultiProcess count adjusted depth 5,1,9,00:00:18.479,18479,,,,,
2,MultiProcess count adjusted depth 5,2,9,00:00:19.138,19138,,,,,
2,MultiProcess count adjusted depth 5,3,9,00:00:18.540,18540,,,,,
2,MultiProcess count adjusted depth 5,4,9,00:00:17.373,17373,,,,,
3,MultiProcess count adjusted depth 5,0,9,00:01:07.865,67865,00:01:04.685,64685,,,
3,MultiProcess count adjusted depth 5,1,9,00:01:04.908,64908,,,,,
3,MultiProcess count adjusted depth 5,2,9,00:01:03.943,63943,,,,,
3,MultiProcess count adjusted depth 5,3,9,00:01:02.659,62659,,,,,
3,MultiProcess count adjusted depth 5,4,9,00:01:04.51,64051,,,,,
4,MultiProcess count adjusted depth 5,0,9,00:01:53.668,113668,00:01:52.3,112003,,,
4,MultiProcess count adjusted depth 5,1,9,00:01:51.521,111521,,,,,
4,MultiProcess count adjusted depth 5,2,9,00:01:52.382,112382,,,,,
4,MultiProcess count adjusted depth 5,3,9,00:01:51.424,111424,,,,,
4,MultiProcess count adjusted depth 5,4,9,00:01:51.21,111021,,,,,
5,MultiProcess count adjusted depth 5,0,9,00:01:57.870,117870,00:01:54.166,114166,,,
5,MultiProcess count adjusted depth 5,1,9,00:01:53.321,113321,,,,,
5,MultiProcess count adjusted depth 5,2,9,00:01:52.662,112662,,,,,
5,MultiProcess count adjusted depth 5,3,9,00:01:52.634,112634,,,,,
5,MultiProcess count adjusted depth 5,4,9,00:01:54.343,114343,,,,,
6,MultiProcess count adjusted depth 5,0,9,00:00:02.127,2127,00:00:01.992,1992,,,
6,MultiProcess count adjusted depth 5,1,9,00:00:02.151,2151,,,,,
6,MultiProcess count adjusted depth 5,2,9,00:00:01.918,1918,,,,,
6,MultiProcess count adjusted depth 5,3,9,00:00:01.891,1891,,,,,
6,MultiProcess count adjusted depth 5,4,9,00:00:01.876,1876,,,,,
7,MultiProcess count adjusted depth 5,0,9,00:00:04.617,4617,00:00:04.349,4349,,,
7,MultiProcess count adjusted depth 5,1,9,00:00:04.422,4422,,,,,
7,MultiProcess count adjusted depth 5,2,9,00:00:04.300,4300,,,,,
7,MultiProcess count adjusted depth 5,3,9,00:00:04.212,4212,,,,,
7,MultiProcess count adjusted depth 5,4,9,00:00:04.195,4195,,,,,
